ItemID,Sentiment,SentimentText
positive,negative,                     is so sad for my APL friend.............
2,negative,                   I missed the New Moon trailer...
3,positive,              omg its already 7:3negative :O
4,negative,          .. Omgaga. Im sooo  im gunna CRy. I've been at this dentist since positivepositive.. I was suposed 2 just get a crown put on (3negativemins)...
5,negative,         i think mi bf is cheating on me!!!       T_T
6,negative,         or i just worry too much?        
7,positive,       Juuuuuuuuuuuuuuuuussssst Chillin!!
8,negative,       Sunny Again        Work Tomorrow  :-|       TV Tonight
9,positive,      handed in my uniform today . i miss you already
positivenegative,positive,      hmmmm.... i wonder how she my number @-)
positivepositive,negative,      I must think about positive..
positive2,positive,      thanks to all the haters up in my face all day! positivepositive2-positivenegative2
positive3,negative,      this weekend has sucked so far
positive4,negative,     jb isnt showing in australia any more!
positive5,negative,     ok thats it you win.
positive6,negative,    &lt;-------- This is the way i feel right now...
positive7,negative,"    awhhe man.... I'm completely useless rt now. Funny, all I can do is twitter. http://myloc.me/27HX"
positive8,positive,    Feeling strangely fine. Now I'm gonna go listen to some Semisonic to celebrate
positive9,negative,    HUGE roll of thunder just now...SO scary!!!!
2negative,negative,    I just cut my beard off. It's only been growing for well over a year. I'm gonna start it over. @shaunamanu is happy in the meantime.
2positive,negative,    Very sad about Iran.
22,negative,    wompppp wompp
23,positive,    You're the only one who can see this cause no one else is following me this is for you because you're pretty awesome
24,negative,   &lt;---Sad level is 3. I was writing a massive blog tweet on Myspace and my comp shut down. Now it's all lost *lays in fetal position*
25,negative,   ...  Headed to Hospitol : Had to pull out of the Golf Tourny in 3rd place!!!!!!!!!!! I Think I Re-Ripped something !!! Yeah THAT !!
26,negative,   BoRinG   ): whats wrong with him??     Please tell me........   :-/
27,negative,   can't be bothered. i wish i could spend the rest of my life just sat here and going to gigs. seriously.
28,negative,"   Feeeling like shit right now. I really want to sleep, but nooo I have 3 hours of dancing and an art assignment to finish. "
29,positive,"   goodbye exams, HELLO ALCOHOL TONIGHT "
3negative,negative,   I didn't realize it was THAT deep. Geez give a girl a warning atleast!
3positive,negative,   I hate it when any athlete appears to tear an ACL on live television.
32,negative,   i miss you guys too     i think i'm wearing skinny jeans a cute sweater and heels   not really sure   what are you doing today
33,negative,  -- Meet your Meat http://bit.ly/positive5SSCI
34,negative,   My horsie is moving on Saturday morning.
35,negative,   No Sat off...Need to work 6 days a week 
36,negative,   Really Dont Like Doing my Room Its So Boring  Sick Of Doing My Wardrobe Out Cant Waiit Till I Have My Walk In One  Yay
37,negative,"   SOX!     Floyd was great, but relievers need a scolding!"
38,negative,   times by like a million
39,positive,   uploading pictures on friendster 
4negative,negative,   what type of a spaz downloads a virus? my brother that's who :\ MSN is now fucked forever    :'(
4positive,negative,  &amp;&amp;Fightiin Wiit The Babes...
42,positive,  (: !!!!!! - so i wrote something last week. and i got a call from someone in the new york office... http://tumblr.com/xcn2positivew6o7
43,negative,  *enough said*
44,positive,"  ... Do I need to even say it?  Do I?  Well, here I go anyways:  CHRIS CORNELL IN CHICAGO!  ... TONIGHT!    "
45,positive,  ... health class (what a joke!)
46,positive,  @ginaaa &lt;3 GO TO THE SHOW TONIGHT
47,negative,  @Spiral_galaxy @YMPtweet  it really makes me sad when i look at Muslims reality now
48,negative, - All Time Low shall be my motivation for the rest of the week.
49,negative,"  and the entertainment is over, someone complained properly..   @rupturerapture experimental you say? he should experiment with a melody"
5negative,negative,  another year of Lakers .. That's neither magic nor fun ...
5positive,negative,  baddest day eveer. 
52,positive,  bathroom is clean..... now on to more enjoyable tasks......
53,positive,  boom boom pow
54,negative,  but i'm proud.
55,negative,  congrats to helio though
56,negative,  David must be hospitalized for five days end of July (palatine tonsils). I will probably never see Katie in concert. 
